tweet,label,lang
@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,1,AR
@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0,AR
@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,1,AR
@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,1,AR
@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,1,AR
@user @user كلهم خنازير المجوس,1,AR
@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,1,AR
@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url,0,AR
اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .,1,AR
وحدة مناهضة التحرش والعنف ضد المرأة,0,AR
والله هندوس ع وش اللي جابوهم السبت,1,AR
@user ياشارب بول البعير العباسيين هم الهاشميين,1,AR
بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url,1,AR
صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا… @url,0,AR
@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user,1,AR
@user let guess اللاجئون السوريون؟,0,AR
والله لو بس تتركون بول البعير راح تصحون على نفسكم @url,0,AR
معا لحماية أطفالنا من التحرش الجنسي @url,0,AR
@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,1,AR
مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن,1,AR
@user @user بس يا شارب بول البعير يا عبد ال سلول,1,AR
@user @user @user هههعععععع اي علوم ههههه بول البعير,1,AR
عيل وسخ هسقطك. @url,1,AR
ناقشه بمعزل تاااااااام عن قضية التبرج,0,AR
الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو… @url,1,AR
@user @user بول البعير بيكون  أفتر ميل  ماي دارلينغ,1,AR
@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,1,AR
@user @user هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا… @url,1,AR
@user @user @user أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ… @url,0,AR
@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,1,AR
@user @user اووووه يممممااااه تصدق خوفتني يا خنزير,1,AR
دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016 @url,1,AR
شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن,1,AR
شوفو ليكم حاجة غير التحرش ده البن… @url,0,AR
لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......,1,AR
ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه… @url,1,AR
بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url,1,AR
ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت,1,AR
بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في… @url,0,AR
مزال مسمعناش الصفارة يعني مكانش التحرش .,0,AR
صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,1,AR
التحرش والشارع والمجال العام ما يكون آمن للنس… @url,0,AR
صباح الخير ايها اللاجئون,0,AR
@user @user حرر بلدك يا خنزير,1,AR
@user @user خنزير اوبس,1,AR
بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,1,AR
@user @user اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك… @url,1,AR
من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل,0,AR
عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون,0,AR
@user ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة,0,AR
يظل التحرش في نظر الانثي تحرشا,0,AR
دعسس خنازير #الإسرائيلي #عزمي_حم…,1,AR
ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت… @url,1,AR
@user @user خنازير التحالف العربي,1,AR
@user @user اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,1,AR
تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب),1,AR
لو كنت مشرعاً لجرمت التحرش . . ولكن كل ما كان زي الفتاة وسلوكها والظروف كان مشجعاً للتحرش . . كل ما كانت عقوبة المت… @url,1,AR
يعني يلي بيشرب من بول البعير شو متوقع منو,1,AR
ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با… @url,0,AR
@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب,1,AR
@user @user @user @user @user استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن… @url,0,AR
الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...,1,AR
نصايح كيف تصيرين بايره وراميه نفسك على رجلك @url,1,AR
@user مجموعت خنازير تنبح ليل نهار  اتفو عليكم ياعبادة المال,1,AR
تبقاي بلا زواج لانو موش من اهدافك يقولو عليك بايرة ولا عاهرة !,1,AR
@user @user لا لا انت دتحجي بلغة البعران والبشر لا يفهمون البعير و بول البعير,1,AR
بعدالودادوالنجمومازيمبي دورك يا حوريا#افريقيا_يا_اهلي,0,AR
لا تصارع خنزير في الوحل..   فتتسخ أنت و يستمتع هو..,1,AR
كما سبق وأكدنا القصاص عاجل وسريع فدماء أبناءنا اغلي وأطهر  من كل كنوز الدنيا_والتصفية هي المصير الحتمي لكل خنازير ا… @url,0,AR
@user @user لعنة الله عليك و علا اتباعك يا قريشي ياكلب يا شاربي بول البعير  يا عبيد امريكا @url,1,AR
@user @user لا هندوس,0,AR
@user من اللي يقول المصاريا يحبون الفلوس واللبناني قذر والتركي شايف نفسه والسوداني عجاز والعراقي لسانه وسخ ؟,1,AR
@user لاء دكر واغلط والى يغلط فى بنت اصلا موش راجل  فا اغلط بتقول كمية اللفاظ محسسنى الى رباك كان وسخ,1,AR
ولا حد يدعي انه رجل ويجيب سيرة الحريم,1,AR
@user @user @user اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس… @url,1,AR
محدش شهر بتاع الكبسة داه غيرنا احنا اللي عاملنا من شخصية واحنا اللي هندوس عليا,1,AR
@user @user @user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قب… @user,1,AR
لاسف البنات بقوا بستغلوا الفهم التخلف دا لحاجات دينيه قطعيه ما فيها نقاش . ولو جينا لموضوع التحرش دا كوني. أكون محج… @url,1,AR
والحريم مع الحريم ..  عناد شي ما صار  ..!!,1,AR
@user @user @user يبد انكم جميعا راضعين من خنزير واحد كلكم تشتمون نفس الشتيمه,1,AR
@user من يشرب بول البعير لا يعرف كيف يستخدم قنابل #السعودية #اليمن,1,AR
خنازير رافضيه نفقت .,1,AR
في فرق بين انك تكون اوبن مايندد وانك ماكل لحم خنزير.,1,AR
@user نعم وأسلافنا سلموا أمر دينهم ورسالته لمجموعة من الجهلة والمغفلين فساقوا البشرية إلى شرب بول البعير,0,AR
لو فيك خير اخذوك بنات جماعتك م اعرضت نفسك هنا كنك وحده بايره #ثلاثيني_وسيم_يرغب_بالزواج,1,AR
انا متله متبرجة من سنة ويقدم ان شاءالله,1,AR
شفيها لو طرشتي واتس تسولفين شوي مب لاازم فون مال ساعتين ترا مب كل الحريم لهن بارض هالكثر يسولفن والله,1,AR
@user لا حلوين الحريم استاذ علي,0,AR
@user لقد قتلوه بخسه وغباء وحقاره ووضاعه وبالتأكيد تألم انه قتل علي ايدي اقذر اهل الارض وبأمر من خنزير,0,AR
والله هدف ما يدخل في فريق فئات سنية.. هدف ساذج يا خنازير,1,AR
خنازير البغدادي يتبنون العمليه مساء أمس..,0,AR
عندما يختلط بول البعير ببول الحمير ففعل ما شئت . فقد رفع عنك القلم!!!,1,AR
@user ممكن تبقي بايرة و نعمل جروب عوانس سواا؟؟,0,AR
@user @user @user خنزير اكتروني @url,1,AR
فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,1,AR
@user @user @user تحتاج ان تفهم مشكلة اليمن اولا وبعدها نقدر نتكلم معك لا تنجرف مع خنازير الخنزيره,1,AR
@user @user خنازير انجاس وخرفان اللهم انصر اخواننا بالسعودية وأهلنا بمصر عليهم يارب العالمين وتحيامصر تحيامصر تحيامصر,1,AR
@user ي بول البعير شنو يعني عبد !!!,1,AR
@user @user تخلف يا شاربي بول البعير,1,AR
حكومتنا باعت المواطنيين وشرت خنازير الجزيرة الي شوهوا سمعة القطري وبلادنا أمام العالم والعجيب يتكلمون بسمنا ونعطيهم فلوس,0,AR
سؤال #منا_وجر اذا كانت الضحية بتتحمل مسؤولية التحرشالاغتصاب,1,AR
متتزوجيش و تعيشي الحياة بدون مايقولو بايرة و مسكينة,1,AR
ياجماعه موضوع استعمال مزيلات العرق دا ، موضوع هادف و مثمر اكتر من التحرش ، والله محتاجين نتكلم فيو اكتر من اي حاجه… @url,0,AR
بس وش اسوي لك إذا انتي مهبوله ولسانك وسخ يالوسخه,1,AR
@user @user بتاع بول البعير بيصرفوا عليك وعلى اهلك وعلى بلدك وعلى حكومتك وانت تبيع اللي وراك وقدامك عش… @url,1,AR
متحنش لحد باعك يا وسخ,1,AR
كرم عويس أقامت مأدبة عشاء لزملائها في قناة الخنزيرة اعتقدوا كون والدها يعمل بالجيش الإسرائيلي تعود على أكل اليهود ف… @url,1,AR
قدم نادي القانون بالتعاون مع مركز الدراسات الجنائية محاضرة بعنوان #التوعية_بنظام_مكافحة_التحرش ، ألقتها د.سحر الهبد… @url,0,AR
#في_بلادك_تقدري تكملي قرايتك وتخدمي وما يعايروكش على انك ما تزوجتيش وما يقولولكش بايرة ولا عانس ولا مسكينة لازم رجل… @url,0,AR
@user @user ايضا الشريف المرتضى في كتابة (الإنتصار) أباح شرب بول البعير بقوله [شرب بول ما يؤكل لحمه]… @url,0,AR
هو بول البعير والكبسة يوصل لكدة,1,AR
يارجال التحرش بقى الكتروني كوني اقول ليك منقا او اقول ليك بيبي ده يعتبر تحرش الى ان ياتي مهند شاد اوغلو فيصبح غزلا,1,AR
أيد قادة الاتحاد الأوروبي الأسبوع الماضي بداية مفاوضات رسمية مع النظام المصري حول أزمة اللاجئين. هدف المفاوضات هو ا… @url,0,AR
@user @user @user مجموعه خونه مطرودين من اوطانهم ولقو خنزير ابن خنزير ذميم يضفهم الشرهه على الرأس الكبير… @url,1,AR
تكشف المرأة سبب التحرش!…,1,AR
يبدو أنّك تحت تأثير بول البعير ، وقد تعفّن رأسك، حتّى صرتَ لا تفقه شيئاً في هذه الدّنيا، ولا تدري مالّذي يدور حوالي… @url,1,AR
ماساكتاش.. هل ستقي الصافرة المغربيات شر التحرش؟ @url,1,AR
لعنكم الله يا خنازير ايران #الحوثي_ينتهك_القانون_الدولي,1,AR
ويهربون خنازير الوهابية الذين فجروا فنادق بيروت يا فرخ. @url,1,AR
في 2012 خلال مباراة الفريقين قامت جماهير ريفر بليت بإطلاق خنزير طائر يرتدي قميص البوكا فوق جماهير بوكا جونيورز @url,0,AR
@user ياخى اوسخ شعوب الدنيا السودانيين,1,AR
طب امنعو التحرش الاول  #ضد_منع_النقاب,0,AR
رايحة بايرة بعمق ونلصق ع فيتامين دال,1,AR
تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله. @url,0,AR
@user @user قال الشيعه الصفوين الروافض الاباضيه الاباضيه الاباضيه أنت ينجس يطقعه تتوضا بول البعي… @url,1,AR
@user @user اليمن مرمطة بسعودية وهي بدون سلاح مابالك بايران وهيا دوله مصنعه باتخلي الخونة أمثل… @url,1,AR
@user @user والله اني في صنعاء وجنب المطر يا خنازير,1,AR
@user @user انت رجاع خود جرعة من بول البعير ولا تدخل بيناتنا يا زق,1,AR
إن هؤلاء الإمعات الذين يخرجون على شاشات التلفزة باسم معارضين و ثوار و هم لم يذوقوا من مرارة العيش في سوريا و حصار ا… @url,0,AR
أول مسلمتين في #الكونغرس_الأميركي - امريكا تتقدم و العربان يتبعون مسار بول البعير @url,1,AR
بلاغ ضد هؤلاء الوافدين من الجالية #الروهينجا البنغال المتواجدين في مكة المكرمة و يتواصلون مع خنزير لندن سعد الفقيه.… @url,1,AR
عرفت اليوم ليش سيئ طلع ذكرى ميلاد خنزير البرتغال,1,AR
من هو العربي الحُر الاصيل اللذي يرضى بأن يحمكه في أرضه مجوسي فارسي خنزير !؟,0,AR
@user @user اذا كان الخنزير  نتانياهو في الاردن و ثم في تركيا و عمان و يجتمع مع سعوديين، فلا يزال الخنزير خ… @url,1,AR
من أعظم ماقيل عن قضيه التحرش من باسم يوسف @url,0,AR
ليس لدي شك أن تنظيم عيال فطيمة خنازير الخمارات العبرية المتحدة متورطين في #قضية_خاشقجي بريطانيا كشفت الأمر وهددتهم… @url,1,AR
@user @user انتم سبب دمار الدول وتخلفها يا شاربي بول البعير .ايران قريبه منكم يا جبنإ,1,AR
@user @user دراعه كان مصاب ياشارب بول البعير,1,AR
سوبر ايه ي عم..... كاس افريقيا اهم,0,AR
@user @user @user @user أني عراقي تاج على راسك يابدوي يا شارب بول البعير.,1,AR
@user @user @user اشرب بول البعير وتعال,1,AR
ترى حتى الحريم عندهم شنبات بس شايلات ليزر,0,AR
في خنزيره تزوجت خنزير وجابو عيال خنازير,1,AR
كف   كموم     زنود  ثوبك    يدك ادخله    حان  وقت    اصلا    دود    علي  فران  هندوس,1,AR
@user @user فئة خنازير,1,AR
@user @user حاشا ..انتم مملكة بول البعير,1,AR
هنعلم الناس تحترم المرأة المتعلمة الغير متزوجة ومتهينهاش بألفاظ زي بايرة بإننا نهين المرأة اللي بتربي العيال ونطلعه… @url,1,AR
@user @user هدي اعصابك واشرب من بول البعير العراقي,1,AR
ساقو الحريم وللحين ماسقت,1,AR
لما تيجي تتخانق مع خنزير متتخانقش معاه علي الخره، عشان كدا انت هاتتوسخ و هو هايتبسط.,1,AR
شنو في الحريم صارت خدودهم چنهم مجمعين قات وبراطمهم بعد ونظرة العيون على كتر ... بس بقولوكم چنكم البطة تويتي منظركم… @url,0,AR
@user @user @user لعنكم الله يا قردة ويا خنازير . عفحرة اعملوا فحص ل dna  بتعرفوا شو اصولكم يا قرود,1,AR
@user @user مشاكل الجاليات  البورماوية و السوريين و اليمنة و الأفارقة  في بلدنا تتفاقم ولم نسمع بحل جذري  لهم,0,AR
@user @user واحد يقول ليش سامي يكلم وحدة متبرجة ويضحك بعد ...,1,AR
وبخصوص كلمتك دول خنازير مايمشو الا با… @url,1,AR
قاعدين ناخذ قصيده عن قد ايش الحريم تافهات عشان واحد كتب قصيده بقصه صارت زمان صدق ان في واحد كان يكره حرمه وجلس يخطط… @url,1,AR
يستحسن ان يطلق عليه ابو  الدعاره  والعاهرات  خنزير تركيا   هذا اللقب يناسبه جدا @url,1,AR
انتشرت ظاهرةالتحرش بالفتيات لتصبح هاجساًيرعب الآباءعلى بناتهن وخوفاًيصيب الفتيات نتيجةمايتعرضن له من إيذاء جسدي ونف… @url,0,AR
: [@user @user تسمي التعاون مع الي قتلو نص مليون شهيد سوري قوه يا صرصور مو اسمها قوه اسمها خيانه ووساخه يا وسخ,1,AR
نحنُ اللاجئون الوحيدون في أرضٍ خلقها الله حُرة فاستعبدوها بالقيود نحنُ الحبُ الحقيقي في أرضٍ تُحب الأجساد قبل القلوب..,0,AR
مشكله غيرة الشباب من بعض اخيس من الحريم تف عليك اذا انت من هالنوع,1,AR
@user @user ادعسو جماجم خنازير الفرس ادعسوا من غدر بالحسين واليوم يلطمون عليه مثل البهائم,0,AR
من الجزائر بلد المجاهدين اكبر خنزير عرفته السعودية هو مح....بن سلمان اللذي يدفع لزوجه وسيده ترانب المليارات والمسلم… @url,1,AR
@user @user تركي راحل نجس يكيد مثل الحريم التي ليس لا رجل او لجام من العفه و الحياء و الوقار يربطها,1,AR
يوجد بتويتر خنازير,1,AR
@user @user لو انها بنت سعوديه يالكلب الخسيس كنت تنابح ضدها متبرجه وكاشفه هههه اما ذي لا كويسه ابوك ياخروف,1,AR
@user @user @user حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك,0,AR
صحبك اب سن مشرومة مجكس؟ — بايره ساي دا @url,1,AR
@user @user دول خنازير مش خرفان,1,AR
مصادر بالمفوضية : اللاجئون السوريون بحاجة لـ 96 مليون دولار لمواجهة الشتاء @url @url,0,AR
تنرفزوا خنازير ليفربول قاموا يضربون فيه !!!,1,AR
ماشايفو قال حاجه غلط حوادث التحرش بتحصل كتير في المجال دا والطبيب في الاخير انسان زينا وممكن يتمادى ف الززل لو لقى… @url,1,AR
@user @user خبير الكبتاغون امير من عندكن يا تبع بول البعير,1,AR
@user @user نادي القرن لا يحتاج لشاربي بول البعير حتى تكون له شعبية والسعودية أصبحت لا تشرف أي مسلم عربي ب… @url,1,AR
جدال بين فتاتين من الجمهور المشارك حول التحرش!,0,AR
كل ما ابقى فالمواصلات او فالشارع او حتى فالشغل الحريم والبنات لابسين حتة طرحه ربع…,0,AR
وانت بيض الله وجهك والله يستر عليك من خنازير ايران في الكويت . @url,1,AR
فرق يوم يكون عندك لاعب يعادل فريق مثل هازارد ثم تروح لفريق اشبه بحظيرة خنازير يا كورتوا,1,AR
في بلادي امرأة غير متزوجة تسمى بايرة,0,AR
@user @user لا وزعلانه ان عنده كرش ومتزوج كثير مع انه ما سوى شي حرام يافاجره يافاسده متبرجه,1,AR
اللاجئون وشبكات التهريب بهدف لم شمل العائلة @url,0,AR
والاحصائيات والأرقام المنشورة عن حالات التحرش والاستغلال هذي وش نسميها,0,AR
ديوث اختك او امك وتحب تديث,1,AR
شرب بول البعير يخلق الهلوسة فااجتنبوه لعلكم تفلحون ههههههههه @user,1,AR
صباح الورد و تباً لمجموعة الثمانين  خنزير @url,1,AR
مع خنازير إنجلترا كي لا يدربهم #زيدان,1,AR
اهنيهم حافظو على شرفهم رغم كثرة التحرش والترويض @url,0,AR
@user @user @user لو كانت متبرجه تلقاها في جميع القنوات أولها القذره ام بي سي,1,AR
دونكم إنكارهم فطرة الرجل عندما يجالس إمرأة متبرجة،فيعدون ذلك طبيعيا ولايفضي إلى محرم!,0,AR
@user @user @user @user فرض شرعي رباني  ماشغلك البحاسب ربنا حسب كلامك التحرش حرية شخ… @url,1,AR
@user @user @user ههههههههع مصدق نفس هوه الي واجه الجيش العراقي  يا شارب بول البعير ما تسترجي على گولت اخوانا السوريين,1,AR
@user @user خنزير المجوس,1,AR
للي تصور تبعد عن صور الحريم والصراخ  والله شيء ماهو حلو بحق شاعرنا ولا بكم أبتعدوا عن الصراخ ليش تصرخون.   وشكرا لك… @url,0,AR
@user @user بس مو كلّهم،وحتى احنا عندنا ناس لسانهم وسخ محنا ملائكه,1,AR
@user @user لعنكم الله يا خنازير يا ابناء القردة,1,AR
@user @user مملكة شاربي بول البعير,1,AR
واما بعد الان فقرة التحرش الله يعينه الي تجي عليه عاد بعد ل١٠,0,AR
برا يا خنازير يا مخنايث وخذو معكم جونز,1,AR
- خنازير هالغرب,0,AR
@user @user شف من يحكم رجال يمشي بزوجة متبرجة وتخالط الرجال وتلامسهم وش الرجي من اشكالك خل الرجولة عنك وحم اهلك من الي استعمروك,1,AR
مااعرف ليش بعض الحريم تحسس العالم ان الرجال عضو من اعضائها لو نقص ولا ماكان موجود بتجلسين…,1,AR
@user @user @user @user @user موكتلك بول البعير مأثر عليك ايران بحدودك روحوا حاربوها ان كنتم رجال,0,AR
@user @user @user تشرفنا يا خنزير .. علي الأقل ننال شرف القضاء علي ارهابي نجس مثلك ونريح العال… @url,1,AR
بالعادة المتسعودين المسعورين بيستعملوا المنشار تحت تاثير تناول بول البعير..!! @url,1,AR
#غطي_وجهك مفروظ يعاقبونه بقانون التحرش ٥ سنين سجن و٥٠٠ الف ريال غرامه,1,AR
@user @user الاغلبيه متبرجه,1,AR
مع إني ضد الشتيمة، بس تركي اَل الشيخ (شوال البطاطا)، ومن يمثلهم، واللي بيدافعوا عنه، وسائر كوكب شاربي بول البعير =… @user,1,AR
عىد نسويات خنزير @url,1,AR
@user @user واكا غير مسلمه نجيبها هنا متبرجة شبه عاريه ونتفرج فيها نقول غير مسلمة اوووم المرض الي فيكم ياشيخه… @url,1,AR
@user @user @user بول البعير ولا بول المعمم ههههههههههه,1,AR
@user @user @user اكيد ، شرابين بول البعير في وادي والشعوب الثانيه في وداي اخر,1,AR
يا عرص يا وسخ، معجب بديمقراطية امريكيا، وتلعن من يريد نفس الخيار في بلادك وفي بلدان المنطقة.. @url,1,AR
٨٠٪ من قضايا #التحرش والأعتداءات الجنسيه على البنات القاصرات  التي وصلتني كان سببها إهمال #الأم وانشغالها بمشاويرها… @url,0,AR
جايه بفستانها وتستلم جايزة افضل لاعبة خربوا الكورة الحريم والله,1,AR
@user @user @user يا خنزير  لا  تستعجل.  جايكم الدور  خلينا نربيكم في اليمن ونربي قطر. و… @url,1,AR
الأهم من كل ده المطلوب محسبة الجاني ان كان فرد او جماعة مش اكتر ومنقبلش ان خنزير يقول فرض عقوبات علي السعودية ولا ح… @url,1,AR
شفت قبل قليل امراة متبرجة و كتبت هذا الكلام على المنديل و خليت العامل يعطي المنديل زو… @url,1,AR
نحن عرب لا نستحي ، تركنا خنازير تحكمنا بلا حياء ، حتى الغوا الإسلام ، وعاثوا في الأرض فسادا،نشروا الرزيلة من المحيط… @url,1,AR
ما تفكر كل الناس متلكم يا شاربي بول البعير,1,AR
بعد ازدياد نسبة التحرش في السنوات الأخيرة.. العراق يدرس قانونا لنشر قاعدة بيانات تتضمن أسماء المتحرشين فيما اعتبره… @url,0,AR
شغل الحريم بلاش منه .,1,AR
لم تكوني بتتونسي مع صحباتك وهم متزوجات وانتي بايره  @url,1,AR
حوادث التحرش تحدث كثيراً في السودان وغيره، مسارها الطبيعي أن يتجه الطرفان إلى القانون وأحياناً تأخذ الفتاة حقها في… @url,0,AR
خنازير الارض طلعوا من الكاس هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,1,AR
ويجيك رافضي بهيم ويقلك سيدنا عمر كسر ضلع فاطمه  وسيدنا علي يتفرج  غيره سيدنا علي من السواك  علي فاطمه مابالك احد يكسر ضلع زوجته.,1,AR
تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله. @url @url,0,AR
مشعل السديري - شعرة من جلد خنزير @url,1,AR
@user @user @user @user @user ياخنازير ياكلب ههههههههه خنازير,1,AR
شاهد: صاحب فيديو التحرش بفتاة التجمع في مصر يستفزها بفيديو يخرجها عن صمتها.. وترد: المنتقبة بيتحرشوا بيها @url,1,AR
@user @user زي الكلاب تنزلون التغريده وودي اشوف وجيهكم وانتم تنزلونها ابو من جمعكم خنازير,1,AR
@user @user @user @user عايزه تخصى العالم كله عشان متجوزتيش يا بايره,1,AR
نصيحة لكِ..بلاش تعملي ريتويت لواحدة متبرجة او حطه صورة متبرجة.,1,AR
@user @user @user في الدول المتقدمة و الي تقدر الحريات هذا الشي فخر اما عن دول البهائم و بول البعير و لار… @user,1,AR
@user @user @user احب اقوليك م ضروري تكوني متبرجه عشان بتحرشو بيك....  طب ليه المنقبات نقاب اسلام… @url,1,AR
عرفتوا يا خنازير ليه مش بديكم اهتمام,1,AR
انها مثلت وعرضت قضية للعالم وانه الحلقة هادفة عادي!! التحرش كمان على مواقع التواصل الاجتماعي وهاي اكبر مثال @url,1,AR
انك تبقي متمسك بحاجه انت عارف انها بتأذيك و الكل بيقول سيبيها و محدش فاهم قد ايه دا صعب فعلا..  ما احنا مش هندوس عل… @url,0,AR
@user @user اللهم ذل خنازير آل سعود واخسف بهم الارض,1,AR
